id,panoid,lat,lon,year
79,KNvSN7SWK-sKdKSfCLO5Yg,47.61520905,-122.2886282,2019
80,m3nFh-eIcWIVKU4QXspjxQ,47.61518663,-122.289172,2019
81,qhTiGMI1TxQFZuPS9FTdYg,47.61521307,-122.2899486,2019
82,UvuPEPG09kkhUqdzBAW88g,47.61519923,-122.2894417,2019
83,aecYJLCkmmGJKt4u5HMSEQ,47.61612706,-122.2892066,2019
84,zLv7HgqttRJYWqElaQ4HEA,47.6156195,-122.2892173,2019
85,6GPhljOXctnklkpmApZypw,47.6176822,-122.2901764,2019
86,mzCVEH2Js2COJL2WlPmPFw,47.61765532,-122.2896557,2019
87,r3YHYp6L8sK2N7KXCqEpxw,47.61835156,-122.2860174,2019
88,QVrS4FDiDsSsj4I0LUdMnw,47.61803417,-122.2890129,2019
89,oEiai48wYxViVMaSwHAfRA,47.61653379,-122.2891964,2019
90,ULJHGBR4WmkSgrJ7da0jRw,47.617029,-122.289187,2019
91,D8MLNMY6VB2UcQXW8BBFWw,47.61756796,-122.2891651,2019
92,6jB3h7QCDeCWCIZzt9nEVw,47.61767346,-122.2881905,2019
93,Zq_iDK4kFhnoXGiCrOJ59g,47.6176812,-122.2886116,2019
94,_mNiPyFqg8_BO_O-MfKrxQ,47.61766575,-122.2889718,2018
95,Vl263Ms65y-n32RFvrRRoA,47.67765738,-122.320362,2019
96,4jdsHk55XgP6XPb5HzjKmQ,47.67804766,-122.3204288,2019
97,lJPrGUewT1Y5fb-SSPgIbg,47.67859623,-122.3204532,2019
98,DEtzoQB_SGV7JTvq4fLCAA,47.67905386,-122.3204716,2019
99,xeLeG30LOAQ6wucoopayeQ,47.67955328,-122.3205244,2019
100,K36mPB10E1kvSfSR3TRGFg,47.6800527,-122.3205105,2019
101,1d10JvBnr1JUATOsldzkkg,47.68057498,-122.3205414,2019
102,OUkGvJgtztmJssRt9d21Zg,47.68100738,-122.3206072,2019
103,A1NcMpbXcYisL7SURyZVYA,47.68156072,-122.3207516,2019
104,G4U-N-WLzFUnsHueQaTKlw,47.68199409,-122.3209253,2019
105,3ggO4FlbomsPlQwvTAoT1w,47.6824337,-122.3211504,2019
106,SDnG1_iE3F5DDSgn92lGOA,47.67725876,-122.3203511,2019
107,5HVqbwNSARHL6zId9aA4wA,47.67781491,-122.3203647,2019
108,oRPs0rqLO-RNSuReQzIkQA,47.67833664,-122.3203327,2019
109,vpw-4vP4nWkhqe6eT6BX3Q,47.67876355,-122.3202871,2019
110,PqKhNeCv7tWCbzeI6owz8A,47.67922067,-122.3202379,2019
111,z0AGHB1u9CHapxKthxCxQA,47.67976958,-122.3201823,2019
